id;name;code;type;latitude;longitude;additional_info
1;Georgia Industrial;84228;Views e-enable Communications;72727;92187;Awesome
2;Aruba;96117;navigating;74732;27134;generating compelling
3;Home Loan Account;27599;scalable;16526;7455;Administrator
4;reinvent 24 hour Jewelery;19884;monitor 1080p Checking Account;92630;35846;Frozen IB
5;Highway Ergonomic;37081;Lempira;66592;72960;withdrawal COM
6;embrace Developer;84891;hard drive Robust Networked;4043;52273;partnerships Grocery Intelligent
7;Dynamic;47537;Montana;69551;90756;Phased
8;Saint Lucia white;94285;Money Market Account;69478;16122;Web virtual deposit
9;Squares mint green e-business;88328;projection Fresh;35629;31800;Gorgeous Profit-focused synergies
10;cutting-edge ability Hat;53408;Bedfordshire Bahamian Dollar;26941;33761;Directives
